,Unnamed: 0,Symbol,Security,GICS Sector,Market Cap,Average Volume,Return from 2017-2019 (Pre-Covid),Return from 2020-2022 (Post-Covid)
176,176,EPAM,EPAM Systems,Information Technology,13750000000.0,695804.0,225.46381186394436,53.063701526335024
177,177,EQT,EQT,Energy,14430000000.0,6422817.0,-69.65427711032785,208.38651784479347
178,178,EFX,Equifax,Industrials,26055000000.0,755319.0,17.143100142384487,38.16734423848098
179,179,EQIX,Equinix,Real Estate,75485000000.0,461812.0,62.40028446287261,12.179969417090241
180,180,EQR,Equity Residential,Real Estate,26167000000.0,1763233.0,24.43347896259527,-27.447122206820204
181,181,ESS,Essex Property Trust,Real Estate,16288000000.0,396504.0,28.19075600641861,-29.88121944695563
182,182,EL,Estée Lauder Companies (The),Consumer Staples,64212999999.99999,2437887.0,167.1498682235924,20.126856141913983
183,183,ETSY,Etsy,Consumer Discretionary,11933000000.0,3461666.0,271.51211552764204,167.90427473056087
184,184,EG,Everest Re,Financials,15932000000.0,397508.0,27.381669949467565,19.20474857479393
185,185,EVRG,Evergy,Utilities,14139000000.0,1139079.0,13.701542659746774,-3.4075228990152753
186,186,ES,Eversource,Utilities,25922000000.0,1977183.0,52.77828717123869,-1.399508948006703
187,187,EXC,Exelon,Utilities,42319000000.0,6384361.0,27.221760045484487,32.39069940232807
188,188,EXPE,Expedia Group,Consumer Discretionary,17606000000.0,2586206.0,-5.498074554651492,-19.537065983153663
189,189,EXPD,Expeditors International,Industrials,19061000000.0,1216362.0,45.857482856335665,32.180099896350086
190,190,EXR,Extra Space Storage,Real Estate,31905000000.0,1484629.0,35.04207080236145,39.00641905336851
191,191,XOM,ExxonMobil,Energy,420025000000.0,15898816.0,-23.59797504766903,57.03303873340751
192,192,FFIV,"F5, Inc.",Information Technology,8999000000.0,548588.0,-4.366632939835006,2.2005386541687018
193,193,FDS,FactSet,Financials,16552000000.0,307850.0,62.177393917857316,49.337447326054296
194,194,FICO,Fair Isaac,Information Technology,21107000000.0,197004.0,212.4854067612787,58.77454034213362
195,195,FAST,Fastenal,Industrials,33217000000.0,3268201.0,55.90717119604276,27.6159583551948
196,196,FRT,Federal Realty,Real Estate,8481999999.999999,533169.0,-10.117542429566093,-21.988883892423654
197,197,FDX,FedEx,Industrials,65226000000.0,2016459.0,-19.526186688336647,13.633380808904038
198,198,FITB,Fifth Third Bank,Financials,19220000000.0,6715204.0,11.781922145420364,6.0096948772252965
199,199,FSLR,First Solar,Information Technology,21142000000.0,2417551.0,72.52375733987046,165.5850872936631
200,200,FE,FirstEnergy,Utilities,22965000000.0,3779683.0,56.57088393139728,-13.632624710392136
201,201,FIS,FIS,Financials,36470000000.0,5325922.0,81.69901457986519,-51.490669305254336
202,202,FI,Fiserv,Financials,79343000000.0,3621346.0,116.19547191647862,-12.870689918254984
203,203,FLT,Fleetcor,Financials,18639000000.0,504743.0,99.2760333647538,-36.63585291091874
204,204,FMC,FMC Corporation,Materials,11909000000.0,1211572.0,99.89630878647003,24.339941851807623
205,205,F,Ford Motor Company,Consumer Discretionary,55731000000.0,59868791.0,-24.180326683487294,25.18837634226581
206,206,FTNT,Fortinet,Information Technology,61371000000.0,5443632.0,249.96726815607025,127.18400720112724
207,207,FTV,Fortive,Industrials,26124000000.0,2051277.0,41.547603912023874,-0.2873315862392005
208,208,FOXA,Fox Corporation (Class A),Communication Services,16433000000.0,4242933.0,-2.4210478130139803,-18.818495153417416
209,209,FOX,Fox Corporation (Class B),Communication Services,16399999999.999998,1237787.0,-5.595854748181545,-22.054792430302868
210,210,BEN,Franklin Templeton,Financials,14685000000.0,2977970.0,-35.834993494443616,3.006632300132807
211,211,FCX,Freeport-McMoRan,Materials,58206000000.0,12457969.0,-3.558187919795211,184.64418662298576
212,212,GRMN,Garmin,Consumer Discretionary,20271000000.0,770172.0,101.8339159530911,-5.459948454305188
213,213,IT,Gartner,Information Technology,28134000000.0,506580.0,50.72020851671053,117.59452611670031
214,214,GEHC,GE HealthCare,Health Care,37570000000.0,3273177.0,,-7.333331637912327
215,215,GEN,Gen Digital,Information Technology,12341000000.0,4235982.0,6.432744251562867,-16.32175011931169
216,216,GNRC,Generac,Industrials,9037000000.0,1236516.0,144.9612542074412,-0.7101929481304258
217,217,GD,General Dynamics,Industrials,59111000000.0,1185750.0,0.9289495514979976,39.819670260529314
218,218,GE,General Electric,Industrials,120291000000.0,5178262.0,-63.61477966113662,-6.734190313468663
219,219,GIS,General Mills,Consumer Staples,45059000000.0,3492156.0,-15.058783139222442,56.34905240375358
220,220,GM,General Motors,Consumer Discretionary,53589000000.0,13999603.0,4.173811045108196,-9.0810827306799
221,221,GPC,Genuine Parts Company,Consumer Discretionary,21964000000.0,917695.0,9.956439179038519,62.767351773422725
222,222,GILD,Gilead Sciences,Health Care,100586000000.0,5747625.0,-10.243290583128765,31.00869841805031
223,223,GL,Globe Life,Financials,10959000000.0,496051.0,40.9486886140662,14.449825269266992
224,224,GPN,Global Payments,Financials,28943000000.0,2422014.0,159.145466424942,-46.00706640795989
225,225,GS,Goldman Sachs,Financials,117008000000.0,2316801.0,-5.315201507495448,48.649352763122295
226,226,HAL,Halliburton,Energy,33327000000.0,9885366.0,-55.31295510359443,59.37625606707193
227,227,HIG,Hartford (The),Financials,23007000000.0,1586588.0,25.52223483356006,24.39304949131737
228,228,HAS,Hasbro,Consumer Discretionary,8865000000.0,1592669.0,34.65625333926416,-42.53555677334597
229,229,HCA,HCA Healthcare,Health Care,78439000000.0,1256924.0,98.42657590190709,61.960043724833454
230,230,PEAK,Healthpeak,Real Estate,11897000000.0,4618974.0,13.989298292929309,-27.543350287789153
231,231,HSIC,Henry Schein,Health Care,10470000000.0,866091.0,9.84310531571607,18.871855699415264
232,232,HSY,Hershey's,Consumer Staples,50413000000.0,1166469.0,41.390612964269685,57.284530356679255
233,233,HES,Hess Corporation,Energy,44361000000.0,1661109.0,4.37046451732735,110.07258604145187
234,234,HPE,Hewlett Packard Enterprise,Information Technology,22292000000.0,12814574.0,17.078012743165615,-0.2499997615814209
235,235,HLT,Hilton Worldwide,Consumer Discretionary,40181000000.0,1754462.0,96.85847486655824,13.6842095147712
236,236,HOLX,Hologic,Health Care,19941000000.0,1536648.0,29.650001525878906,43.58925095890949
237,237,HD,Home Depot (The),Consumer Discretionary,322194000000.0,4342629.0,60.85121224353433,44.17563570916002
238,238,HON,Honeywell,Industrials,138860000000.0,2478796.0,57.82230717228562,20.73239608549736
239,239,HRL,Hormel Foods,Consumer Staples,21927000000.0,2163382.0,28.976786435115596,0.9082850087634938
240,240,HST,Host Hotels & Resorts,Real Estate,12497000000.0,6648870.0,-2.1533704571746157,-13.941021097321725
241,241,HWM,Howmet Aerospace,Industrials,20627000000.0,2644811.0,64.72786134613422,27.499191336009176
242,242,HPQ,HP Inc.,Information Technology,31787000000.0,7467703.0,37.056856404905496,29.932303881583536
243,243,HUM,Humana,Health Care,57086000000.0,1338974.0,81.28357956593344,39.50048952302695
244,244,HBAN,Huntington Bancshares,Financials,17056000000.0,14993235.0,11.738483798129112,-6.746028517259077
245,245,HII,Huntington Ingalls Industries,Industrials,9237000000.0,327069.0,36.11351219383446,-8.460320366753471
246,246,IBM,IBM,Information Technology,126164000000.0,4401606.0,-20.47305772944332,9.163660834550386
247,247,IEX,IDEX Corporation,Industrials,16071000000.000002,500591.0,89.70718711838327,32.112480131923235
248,248,IDXX,Idexx Laboratories,Health Care,46035000000.0,446382.0,121.15141100584495,55.98975007045076
249,249,ITW,Illinois Tool Works,Industrials,77668000000.0,1102300.0,45.40531704594637,22.28698890677951
250,250,ILMN,Illumina,Health Care,30116000000.0,1562877.0,154.03733010761007,-38.55037093164637
251,251,INCY,Incyte,Health Care,14311000000.0,1960032.0,-12.942452458854149,-7.5825609131325304
252,252,IR,Ingersoll Rand,Industrials,26399000000.0,2149093.0,71.71765495749081,41.67570088595514
253,253,PODD,Insulet,Health Care,19813000000.0,578317.0,344.0220472302337,71.91661130855874
254,254,INTC,Intel,Information Technology,142434000000.0,44978482.0,62.851674236320754,-56.12549872384322
255,255,ICE,Intercontinental Exchange,Financials,65068000000.0,2250754.0,62.46045687602181,10.501939233727382
256,256,IFF,International Flavors & Fragrances,Materials,21428000000.0,2092603.0,7.184468008005937,-18.979906272824802
257,257,IP,International Paper,Materials,11054000000.0,3358432.0,-13.575598891244832,-21.32254573200854
258,258,IPG,Interpublic Group of Companies (The),Communication Services,12689000000.0,5106845.0,-2.410146740034668,43.14568422012065
259,259,INTU,Intuit,Information Technology,137935000000.0,1884998.0,129.8758131504236,49.080749670166306
260,260,ISRG,Intuitive Surgical,Health Care,117965000000.0,1691669.0,178.9508406154133,33.632704782389354
261,261,IVZ,Invesco,Financials,8308000000.0,4507238.0,-42.12394909583177,1.0106699077672143
262,262,INVH,Invitation Homes,Real Estate,22206000000.0,2738883.0,48.05969982128808,-1.5609472307401502
263,263,IQV,IQVIA,Health Care,42353000000.0,1180619.0,100.03910673921902,31.991242046590667
264,264,IRM,Iron Mountain,Real Estate,18049000000.0,1388961.0,-3.4135958316208277,56.26958956188799
265,265,JBHT,J.B. Hunt,Industrials,20213000000.0,714862.0,19.16589967194306,47.88803931616553
266,266,JKHY,Jack Henry & Associates,Financials,12506000000.0,667090.0,63.506525397595965,19.860719666450603
267,267,J,Jacobs Solutions,Industrials,15979000000.0,678787.0,55.347555694151595,33.55950796092087
268,268,JNJ,Johnson & Johnson,Health Care,442278000000.0,6714890.0,25.49663550155395,21.100980194432147
269,269,JCI,Johnson Controls,Industrials,47320000000.0,3721320.0,-2.354070422993378,56.44096856198967
270,270,JPM,JPMorgan Chase,Financials,450300000000.0,10690114.0,58.724537091228136,-4.070382327703878
